Nama,Nilai_Ujian
"Miyamizu, Mitsuha (宮水 三葉)",66.59
"Jabami, Yumeko (蛇喰 夢子)",70.05
"Valentine, Funny (ファニー・ヴァレンタイン)",67.84
"Honda, Hanako (本田 華子)",64.49
"Toujou, Nozomi (東條 希)",66.12
"Kurokawa, Akane (黒川 あかね)",66.67
"Inumaki, Toge (狗巻 棘)",70.9
"Fuwa, Aika (不破 愛花)",63.67
"Kozume, Kenma (孤爪 研磨)",70.63
"Higashiyama, Kobeni (東山 コベニ)",69.37
"Ye, Xiu (叶 修)",63.47
"Handa, Sei (半田 清舟)",64.06
"Koizumi, Risa (小泉リサ)",65.95
Fushi (不死 (フシ)),66.08
Ashitaka (アシタカ),63.77
"Takasu, Ryuuji (高須 竜児)",67.63
"de Blois, Victorique (ヴィクトリカ・ド・ブロワ)",66.44
"Miya, Atsumu (宮 侑)",63.46
"Mayer, Re-l (リル・メイヤー)",68.73
"Nouzen, Shinei (シンエイ・ノウゼン)",68.69
"Miyauchi, Renge (宮内 れんげ)",67.97
"Midorikawa, Hana (緑川 花)",66.69
"Edogawa, Ranpo (江戸川 乱歩)",69.12
Inuyasha (犬夜叉),67.61
"Kuchiki, Byakuya (朽木 白哉)",68.58
"Sagara, Sousuke (相良 宗介)",68.22
"Uchiha, Shisui (うちは シスイ)",63.14
"Flourite, Fai D. (ファイ・D・フローライト)",67.77
"Ayanokouji, Kiyotaka (綾小路 清隆)",70.89
"Hellscythe, Eucliwood (ユークリウッド・ヘルサイズ)",67.09
"Inoue, Orihime (井上 織姫)",67.29
"Might, Guy (マイト・ガイ)",64.49
Legoshi (レゴシ),69.74
"Saiki, Kusuo (斉木 楠雄)",71.32
"Kaname, Madoka (鹿目 まどか)",69.67
Filo (フィーロ),61.92
"Reigen, Arataka (霊幻 新隆)",73.98
"Hoshino, Aquamarine (星野 愛久愛海)",68.79
"Ghirga, Narancia (ナランチャ・ギルガ)",66.76
"Nagi, Seishirou (凪 誠士郎)",65.59
Yoshino (四糸乃),63.82
Decim (デキム),68.81
"Ichihara, Yuuko (壱原侑子)",67.75
"Koga, Tomoe (古賀 朋絵)",68.91
"Akabane, Karma (赤羽 業)",70.47
Dante (ダンテ),68.82
"Kazami, Yuuji (風見 雄二)",65.27
"Kurono, Kei (玄野 計)",66.26
"Lockser, Juvia (ジュビア・ロクサー)",67.35
"Kagari, Atsuko (アツコ・カガリ)",67.89
Nine (ナイン（九重 新）),66.78
Goblin Slayer (ゴブリンスレイヤー),68.15
"Nanami, Mami (七海 麻美)",70.2
Casca (キャスカ),66.58
Deidara (デイダラ),67.78
"Yamada Asaemon, Sagiri (山田浅ェ門 佐切)",66.2
"Kurose, Maria (黒瀬 海愛)",63.12
"Izumi, Konata (泉こなた)",71.33
"Lenz, Krista (クリスタ・レンズ)",65.11
"Scarlet, Erza (エルザ・スカーレット)",70.81
"Sturluson, Celty (セルティ・ストゥルルソン)",70.6
"Shirasaki, Kaori (白崎 香織)",63.68
"Bloodfallen, Shalltear (シャルティア・ブラッドフォールン)",64.6
"Kukumila, Kurena (クレナ・ククミラ)",71.82
Asta (アスタ),69.76
"Hekmatyar, Koko (ココ・ヘクマティアル)",65.13
"Kugisaki, Nobara (釘崎 野薔薇)",74.24
"Yamato, Kira (キラ・ヤマト)",64.45
"Nandaba, Naota (ナンダバ・ナオ太)",64.6
YoRHa 2-gou B-gata (ヨルハ2号B型),66.03
"Kuchiki, Rukia (朽木 ルキア)",69.21
"Kyouraku, Jirou Souzousuke Shunsui (京楽 次郎 総蔵佐 春水)",65.88
"Kira, Yoshikage (吉良 吉影)",70.39
"Keehl, Mihael (ミハエル・ケール)",66.49
"Kakyouin, Noriaki (花京院 典明)",68.44
Elaina (イレイナ),68.65
Bishamon (毘沙門),64.32
"Toudou, Aoi (東堂 葵)",67.78
"Sakura, Kyouko (佐倉 杏子)",67.51
"Hiratsuka, Shizuka (平塚 静)",65.62
"Yao, Ling (リン・ヤオ)",67.39
"Yasuri, Shichika (鑢 七花)",65.64
The Count of Monte Cristo (モンテ・クリスト伯爵),62.35
Kurama (蔵馬),66.86
Neferpitou (ネフェルピトー ),67.3
Nikaidou (二階堂),64.21
"Tenjou, Utena (天上 ウテナ)",66.38
"Mishima, Hitomi (三嶋 瞳)",63.95
Black★Rock Shooter (ブラック★ロックシューター),64.37
"Kashiwazaki, Sena (柏崎 星奈)",64.23
"Hatsune, Miku (初音 ミク)",69.72
"Watanuki, Kimihiro (四月一日 君尋)",65.17
"Yamada, Anna (山田 杏奈)",64.83
"Heiwajima, Shizuo (平和島 静雄)",72.03
"Dustiness Ford, Lalatina (ダスティネス・フォード・ララティーナ / ダクネス)",69.6
"Akai, Shuuichi (赤井 秀一)",62.93
"Arima, Kana (有馬 かな)",70.31
"Kaiba, Seto (海馬 瀬人)",66.89
"Hasegawa, Taizou (長谷川 泰三)",67.66
"Hanekawa, Tsubasa (羽川 翼)",68.71
"Nakano, Miku (中野 三玖)",70.46
"Sugawara, Koushi (菅原 孝支)",66.69
Levi (リヴァイ),61.87
"Heartfilia, Lucy (ルーシィ・ハートフィリア)",68.25
"Souma, Shigure (草摩 紫呉)",62.7
"Matou, Sakura (間桐 桜)",67.92
"Chouno, Hina (蝶野 雛)",67.98
"Katsura, Hinagiku (桂ヒナギク)",64.75
"Braun, Reiner (ライナー・ブラウン)",69.02
"Satou, Kazuma (佐藤 和真)",71.09
"Oshino, Shinobu (忍野 忍)",74.71
"Kanroji, Mitsuri (甘露寺 蜜璃)",67.76
"Tsukishima, Kei (月島 蛍)",72.1
"Valentine, Faye (フェイ・バレンタイン)",70.76
Migi (ミギー),68.32
"Kirigiri, Kyouko (霧切 響子)",67.87
Koro-sensei (殺せんせー),71.02
"Jin, Mo-Ri (진 모리)",63.66
"Oda, Sakunosuke (織田 作之助)",63.3
"Uzumaki, Boruto (うずまき ボルト)",63.25
"Hiiragi, Kagami (柊かがみ)",68.05
"Kim, Dokja (김 독자)",64.5
Twelve (ツエルブ（久見 冬二）),67.31
"Sawada, Tsunayoshi (沢田 綱吉)",68.19
"Freecss, Gon (ゴン＝フリークス)",70.79
"Kuroko, Tetsuya (黒子 テツヤ)",70.37
"Shiba, Tatsuya (司波 達也)",67.42
"Iino, Miko (伊井野 ミコ)",69.52
"Son, Hak (ソン・ハク)",69.63
Escanor (エスカノール),69.1
"Zoldyck, Illumi (イルミ＝ゾルディック)",63.58
"Liebert, Johan (ヨハン・リーベルト)",72.11
"Redfox, Gajeel (ガジル・レッドフォックス)",66.19
"Finger, Pieck (ピーク・フィンガー)",65.15
"Matoi, Ryuuko (纏 流子)",70.82
Jiraiya (自来也),68.3
"Gojou, Wakana (五条 新菜)",63.99
"Hiraga, Saito (平賀 才人)",64.99
"Ononoki, Yotsugi (斧乃木 余接)",66.09
"Joestar, Jonathan (ジョナサン・ジョースター)",65.89
"Yasuraoka, Hanabi (安楽岡 花火)",65.65
Esdeath (エスデス),68.7
"Sawabe, Tsubaki (澤部 椿)",67.8
"Uzumaki, Naruto (うずまき ナルト)",74.35
"Ryoumen, Sukuna (両面 宿儺)",72.5
"Toosaka, Rin (遠坂 凛)",71.51
"Malandro, Michiko (ミチコ・マランドロ)",62.3
"Matsuoka, Rin (松岡 凛)",68.95
Cadis Etrama Di Raizel (카디스 에트라마 디 라이제르 / カディス・エトラマ・デ・ライジェル),64.72
"Mitaka, Asa (三鷹 アサ)",67.86
"Mashima, Taichi (真島 太一)",66.72
Nero (黒ネロ),65.96
"Ouma, Shuu (桜満 集)",65.36
"Lee, Rock (ロック・リー)",69.19
"Tabata, Hidenori (田畑 ヒデノリ)",64.34
"Souma, Hatsuharu (草摩 潑春)",65.09
"Hyakuya, Mikaela (百夜 ミカエラ)",70.55
"Takanashi, Rikka (小鳥遊 六花)",70.52
"Kougami, Shinya (狡噛 慎也)",67.21
"Adagaki, Aki (安達垣 愛姫)",66.27
"Koiwai, Yotsuba (小岩井 四葉)",68.09
Nyaruko (ニャル子),62.96
"Miketsukami, Soushi (御狐神双熾)",64.28
"Voldigoad, Anos (アノス・ヴォルディゴード)",69.92
"Brando, Dio (ディオ・ブランドー)",70.13
"Fushiguro, Touji (伏黒 甚爾)",66.59
"Himura, Kenshin (緋村 剣心)",70.58
"Hawkeye, Riza (リザ・ホークアイ)",71.53
"Rockbell, Winry (ウィンリィ・ロックベル)",67.23
"Komaeda, Nagito (狛枝 凪斗)",67.56
Haji (ハジ),63.92
"Bradley, King (キング・ブラッドレイ)",68.38
Chousou (脹相),65.82
"Kuujou, Jolyne (空条 徐倫)",69.42
"Yang, Wen-li (ヤン・ウェンリー)",67.12
"Aihara, Yuzu (藍原 柚子)",62.48
"Noda, Megumi (野田恵)",66.38
"Tu Oderschvank, Nelliel (ネリエル・トゥ・オーデルシュヴァンク)",62.76
"Agatsuma, Zenitsu (我妻 善逸)",70.74
"Ichimaru, Gin (市丸 ギン)",67.49
Gally (ガリィ),62.87
"Greyrat, Rudeus (ルーデウス・グレイラット)",67.55
"Itadori, Yuuji (虎杖 悠仁)",71.88
"Sakurazaka, Shiori (桜坂 詩織)",69.65
"Yuurakutei, Yakumo (八代目 有楽亭 八雲)",62.82
"Tadano, Hitohito (只野 仁人)",65.91
"Azazel, Amelie (アザゼル・アメリ)",62.69
Noi (能井),62.7
"Sano, Manjirou (佐野 万次郎)",68.54
"Mogami, Kyouko (最上 キョーコ)",67.74
Meruem (メルエム),74.99
Griffith (グリフィス),70.07
"Morokuzu, Takehito (諸葛 岳人)",63.82
"Sakamaki, Izayoi (逆廻 十六夜)",67.27
"Urahara, Kisuke (浦原 喜助)",70.15
"Seiei, Setsuna F. (刹那・F・セイエイ)",65.87
Tomoe (巴衛),70.17
Senko (仙狐),65.64
Leone (レオーネ),63.11
"Harima, Kenji (播磨 拳児)",68.44
"Vermillion, Stella (ステラ・ヴァーミリオン)",66.52
"Todoroki, Shouto (轟 焦凍)",72.38
"Zaraki, Kenpachi (更木 剣八)",71.96
"Tomioka, Giyuu (冨岡 義勇)",68.18
"Tachibana, Kanade (立華 かなで / 天使)",70.97
"Edogawa, Conan (江戸川 コナン)",68.67
"Nava, Milim (ミリム・ナーヴァ)",65.54
"Charlotte, Katakuri (シャーロット・カタクリ)",68.67
"Mikoshiba, Mikoto (御子柴 実琴)",66.23
"Haibara, Ai (灰原 哀)",66.58
"Araragi, Koyomi (阿良々木 暦)",70.95
"Sonozaki, Shion (園崎 詩音)",64.99
"Portor, Feitan (フェイタン＝ポートオ)",69.27
"Kousaka, Kirino (高坂 桐乃)",66.9
"Kaizaki, Arata (海崎 新太)",65.81
"Kuroo, Tetsurou (黒尾 鉄朗)",67.52
Thorkell (トルケル),64.4
Future Trunks (未来のトランクス),66.46
"James Moriarty, William (ウィリアム・ジェームズ・モリアーティ)",70.19
"Nakamura, Yuri (仲村 ゆり)",68.88
"Brunestud, Arcueid (アルクェイド・ブリュンスタッド)",63.52
"Usui, Takumi (碓氷 拓海)",68.93
Teresa (テレサ),67.04
"Shiota, Nagisa (潮田 渚)",67.81
"Smith, Erwin (エルヴィン・スミス)",71.95
"Kitagawa, Marin (喜多川 海夢)",70.81
"Son, Gohan (孫 悟飯)",70.03
"Miyuki, Kazuya (御幸 一也)",67.51
"Teppelin, Nia (ニア・テッペリン)",65.93
"Sakuragi, Rokurouta (桜木 六郎太)",64.89
Usopp (ウソップ),69.09
"Inaba, Himeko (稲葉 姫子)",68.18
Sanji (サンジ),71.2
"Kurosaki, Tasuku (黒崎 祐)",64.88
"Nanami, Chiaki (七海 千秋)",67.41
"Hashibira, Inosuke (嘴平 伊之助)",70.72
"Mista, Guido (グイード・ミスタ)",67.21
"Iwatani, Naofumi (岩谷 尚文)",68.79
"Sasaki, Kojirou (佐々木 小次郎)",65.19
"Walker, Allen (アレン・ウォーカー)",69.56
"Hyoudou, Issei (兵藤一誠)",68.38
"Furuhashi, Fumino (古橋 文乃)",66.74
"Orihara, Izaya (折原 臨也)",71.31
Simon (シモン),69.65
"Sakura, Chiyo (佐倉 千代)",64.27
"Kousaka, Honoka (高坂 穂乃果)",63.35
"Jakuzure, Nonon (蛇崩 乃音)",66.42
Yukine (雪音),68.0
"Nishikino, Maki (西木野 真姫)",73.27
"Nakano, Itsuki (中野 五月)",70.9
"Maou, Sadao (真奥 貞夫 / サタン・ジャコブ)",67.01
"Ikishima, Midari (生志摩 妄)",63.72
"Onodera, Kosaki (小野寺 小咲)",69.81
Reze (レゼ),66.18
"Morinome, Shinako (森ノ目 榀子)",59.8
"Sugimoto, Saichi (杉元 佐一)",67.18
"Kajou, Ayame (華城 綾女)",62.87
"Nakajima, Atsushi (中島 敦)",66.05
"Akutagawa, Ryuunosuke (芥川 龍之介)",67.24
"Yukinoshita, Yukino (雪ノ下 雪乃)",69.26
"Stanfield, Claire (クレア・スタンフィールド)",67.87
"Furukawa, Nagisa (古河 渚)",69.49
"Koito, Yuu (小糸 侑)",70.01
"Yagami, Light (夜神 月)",70.7
Kamui (神威),63.77
"Bokuto, Koutarou (木兎 光太郎)",68.82
"Tainaka, Ritsu (田井中 律)",67.73
"Nakiri, Alice (薙切 アリス)",66.85
"Yabuki, Joe (矢吹 丈)",66.9
"Yuzaki, Tsukasa (由崎 司)",71.59
"Kiriyama, Rei (桐山 零)",69.48
Nami (ナミ),69.02
Fern (フェルン),68.62
"Tokisaki, Kurumi (時崎 狂三)",71.08
"Iki, Hiyori (壱岐 ひより)",64.9
Aka no Saber (赤のセイバー),65.54
"Watanabe, Akari (渡辺 星)",64.92
Miia (ミーア),64.14
"Kaidou, Shun (海藤 瞬)",67.52
"Wistalia, Zen (ゼン・ウィスタリア)",64.47
"Tachibana, Taki (立花 瀧)",63.96
"Lion, Ryuu (リュー・リオン)",63.07
"Asada, Shino (朝田 詩乃)",70.09
"Black, Jet (ジェット・ブラック)",63.9
"Katsuragi, Keima (桂木 桂馬)",67.71
"Kushieda, Minori (櫛枝 実乃梨)",65.78
"Tobiichi, Origami (鳶一 折紙)",68.53
"Shigaraki, Tomura (死柄木 弔)",67.99
"Leonhart, Annie (アニ・レオンハート)",68.47
Angel Devil (天使の悪魔),66.44
"Ayuzawa, Misaki (鮎沢 美咲)",69.54
"Hanma, Baki (範馬 刃牙)",67.41
"Greyrat, Eris Boreas (エリス・ボレアス・グレイラット)",70.49
"Tony Tony, Chopper (トニートニー・チョッパー)",70.97
"Nagachika, Hideyoshi (永近 英良)",66.5
"Enma, Ai (閻魔 あい)",66.61
Yue (ユエ),66.42
"Bakugou, Katsuki (爆豪 勝己)",73.49
"Wong, Shorter (ショーター・ウォン)",58.99
"Fujinuma, Satoru (藤沼 悟)",67.97
"Boyle, Arthur (アーサー・ボイル)",65.16
Revy (レヴィ),71.14
"Nanjou, Sachi (南条 幸)",65.76
"Fibel, Sistine (システィーナ=フィーベル)",65.24
"Ibuki, Fuuko (伊吹 風子)",65.13
"Amane, Suzuha (阿万音 鈴羽)",65.98
"Brown, Nicolas (ニコラス・ブラウン)",67.5
"Nakahara, Sunako (中原 スナコ)",65.04
Bojji (ボッジ),66.38
Reborn (リボーン),64.27
Ryuk (リューク),69.4
"Hishiro, Chizuru (日代 千鶴)",67.07
"Kamijou, Touma (上条 当麻)",65.69
Megumin (めぐみん),70.6
"Akaza, Akari (赤座 あかり)",66.12
"Shinonome, Hakase (はかせ)",64.28
"Lunge, Heinrich (ハインリッヒ・ルンゲ)",65.09
Howl (ハウル),67.29
"Cifer, Ulquiorra (ウルキオラ・シファ)",68.88
"Ishida, Shouya (石田 将也)",70.87
"Kobayashi, Rindou (小林 竜胆)",62.95
"Lawliet, L (エル ローライト)",65.98
"Nakano, Ichika (中野 一花)",64.85
"Miki, Sayaka (美樹 さやか)",69.01
Kuro no Rider (黒のライダー),65.96
Askeladd (アシェラッド),71.03
"von Einzbern, Illyasviel (イリヤスフィール・フォン・アインツベルン)",69.73
"Kanbe, Daisuke (神戸 大助)",65.56
Viral (ヴィラル),67.77
"Kirstein, Jean (ジャン・キルシュタイン)",70.32
"Ainsworth, Elias (エリアス・エインズワーズ)",66.91
"Tanaka, Aiko (田中 愛子)",65.38
Orochimaru (大蛇丸),67.29
"Fujiwara, Takumi (藤原 拓海)",68.08
"Shinomiya, Kaguya (四宮 かぐや)",72.17
"Nanami, Kento (七海 建人)",69.12
"Natsuki, Subaru (ナツキ・スバル)",75.58
"Martinez, David (デイビッド・マルティネス)",65.15
Undertaker (葬儀屋（アンダーテイカー）),67.68
"Akaashi, Keiji (赤葦 京治)",66.16
"Okazaki, Ushio (岡崎 汐)",68.19
"Hibari, Kyouya (雲雀 恭弥)",69.22
Chelsea (チェルシー),65.18
Bentham (ベンサム),64.0
Shana (シャナ),69.41
"Takamura, Mamoru (鷹村 守)",68.79
"Dazai, Osamu (太宰 治)",73.71
"Kasuga, Ayumu (春日 歩)",68.06
"Abarai, Renji (阿散井 恋次)",65.64
Rebecca (レベッカ),68.99
Pino (ピノ),64.06
Holo (ホロ),72.91
"Lucilfer, Chrollo (クロロ＝ルシルフル)",69.75
Clare (クレア),65.85
"Joestar, Joseph (ジョセフ・ジョースター)",69.56
"Kinomoto, Sakura (木之本 さくら)",67.46
Sasori (サソリ),63.71
"Ryougi, Shiki (両儀 式)",68.19
"Nagato, Yuki (長門 有希)",69.37
"Polnareff, Jean-Pierre (ジャン＝ピエール・ポルナレフ)",65.38
"Nishinoya, Yuu (西谷 夕)",70.61
Kite (カイト),64.25
Shirayuki (白雪),65.53
"Tepes, Krul (クルル・ツェペシ)",64.3
Scar (スカー (傷の男)),64.46
"Elric, Edward (エドワード・エルリック)",73.76
"Daidouji, Tomoyo (大道寺 知世)",63.16
"Yamauchi, Sakura (山内 桜良)",65.6
Sora (空),71.31
"Silva, Noelle (ノエル・シルヴァ)",66.84
"Kurumizawa McDowell, Satanichia (胡桃沢=サタニキア=マクドウェル)",67.06
"Hori, Kyouko (堀 京子)",68.32
"Horikita, Suzune (堀北 鈴音)",73.77
Aqua (アクア),68.52
"Dola, Schwi (シュヴィ・ドーラ)",66.44
"Foster, Isaac (アイザック・フォスター)",68.54
"Kagenou, Cid (シド・カゲノー)",69.73
"Ooto, Ai (大戸 アイ)",66.29
"Nanakusa, Nazuna (七草 ナズナ)",69.38
"Takagi, Yasushi (高木 泰士)",65.11
"Dostoyevsky, Fyodor (フョードル・ドストエフスキー)",65.46
Hanako-kun (花子くん),70.16
Happy (ハッピー),66.02
"Izumi, Sagiri (和泉 紗霧)",66.63
Sniper Kamen (スナイパー仮面),64.97
"Tenma, Kenzou (天馬 賢三)",69.87
"Hinazuki, Kayo (雛月 加代)",67.02
"Vermillion, Mereoleona (メレオレオナ・ヴァーミリオン)",66.73
"Ikari, Shinji (碇 シンジ)",73.32
"Yuzuriha, Inori (楪 いのり)",69.55
"Inoue, Takina (井ノ上 たきな)",67.83
"Suzumiya, Haruhi (涼宮 ハルヒ)",69.36
"Ishigami, Yuu (石上 優)",71.52
"Speeddraw, Fremy (フレミー・スピッドロウ)",65.13
Takagi (高木),71.61
Saitama (サイタマ),72.08
Thorfinn (トルフィン),70.77
"Kaneki, Ken (金木 研)",72.07
Kamina (カミナ),74.04
Pain (ペイン),68.01
"Aisaka, Taiga (逢坂 大河)",71.86
"Kise, Ryouta (黄瀬 涼太)",66.58
"Tanaka, Asuka (田中 あすか)",62.65
"Suzuya, Juuzou (鈴屋 什造)",71.28
"Amajiki, Tamaki (天喰 環)",62.95
"Kita, Ikuyo (喜多 郁代)",68.19
Sephiroth (セフィロス),61.3
Nausicaä (ナウシカ),66.36
Puck (パック),62.6
"Onodera, Punpun (小野寺 プンプン)",68.77
Emilia (エミリア),71.9
"Momozono, Nanami (桃園 奈々生)",66.51
Friend (ともだち),65.62
Tooru (トール),67.24
"Yotsuya, Miko (四谷 みこ)",62.59
"Makise, Kurisu (牧瀬 紅莉栖)",73.29
Vegeta (ベジータ),71.55
"Kaizuka, Inaho (界塚 伊奈帆)",65.67
"Osaki, Nana (大崎 ナナ)",69.92
"Karuizawa, Kei (軽井沢 恵)",62.99
"Dunois, Charlotte (シャルロット デュノア)",65.78
"Busujima, Saeko (毒島 冴子)",68.38
"Katsuki, Yuuri (勝生 勇利)",65.25
Keyaru (ケヤル／ケヤルガ),64.25
"Uchiha, Sasuke (うちは サスケ)",68.6
Tsukuyo (月詠),66.85
"Yukihira, Souma (幸平 創真)",70.04
Tsunade (綱手),63.89
"Fudou, Akira (不動 明)",64.8
"Tachibana, Rui (橘 瑠衣)",70.16
"Dracule, Mihawk (ジュラキュール・ミホーク)",62.47
Sakamoto (阪本),64.7
"Fairbrook Wingates Hellsing, Integra (インテグラル・ファルブルケ・ウィンゲーツ・ヘルシング)",63.73
"Yeager, Eren (エレン・イェーガー)",71.81
"Honma, Meiko (本間 芽衣子)",68.11
King (キング),63.63
"Tanaka, Ryuunosuke (田中 龍之介)",67.08
Mugen (無限),70.87
Mumen Rider (無免ライダー),66.45
"Urabe, Mikoto (卜部美琴)",65.59
"Nishimiya, Shouko (西宮 硝子)",69.31
Ruler (ルーラー),65.12
Twenty-Fifth Bam (스물다섯번째 밤 / 夜),63.43
"Fernandes, Jellal (ジェラール・フェルナンデス)",64.36
"Phantomhive, Ciel (シエル・ファントムハイヴ)",71.17
Sinbad (シンドバッド),70.81
"Himejima, Akeno (姫島 朱乃)",69.99
"Netero, Isaac (アイザック＝ネテロ)",67.65
"Hohenheim, Van (ヴァン・ホーエンハイム)",64.34
"Saotome, Mary (早乙女 芽亜里)",67.46
"Aoyama, Nanami (青山 七海)",64.88
Tobi (トビ),62.91
"Evans, Soul Eater (ソウル・イーター・エヴァンス)",69.36
"Tsunemori, Akane (常守 朱)",71.78
